Text,Ground Truth,docugami/dfm-csl-large
"ICAO/IATA

                    :

                Not classified as dangerous good under transport regulations.

                     IMO/IMDG (maritime)

                    :

                Not classified as dangerous good under transport regulations.

                Section 15. Regulatory information",Transport Regulations,Regulatory Information
Cerebellar function with finger-to-nose and shin-heel testing normal. Mild right side intention tremor. Rapid alternating movements minimally slowed.,Neurological Exam Results,Cerebellar Exam Findings
"U.S. Our local field representatives are supported by teams of dedicated customer service, catastrophe response, legal, medical, investigative, engineering, and large loss experts. Technology claims can be complex and expensive. We’ll help you manage claims to control your total risk-related costs.

        https://www.InsuranceA.com/claims",Technology Claims Management,Claims and Insurance Coverage
"The fixed rent shall be payable in advance on the first day of each calendar month commencing five months following the Commencement Date (the “Rent Commencement Date’) . Provided Tenant is not in default under any term of this Lease Tenant shall receive a rent credit for (i)) one-half of the monthly fixed rent due ($13,000.00) for the sixth month following the Commencement Date; (ii) one- half of the monthly fixed rent due ($13,000.00) for the seventh month following the Commencement Date; 

 (iii) one-half of the monthly fixed rent due ($13,000.00) for the eighteenth month following the Commencement Date; and (iv) one-half of the monthly fixed rent due ($13,000.00) for the nineteenth month following the Commencement Date. 



 At execution of this Lease, Tenant shall pay to Landlord by separate bank checks (i) the amount of $26,000.00 toward fixed rent for for the seventh month following the Commencement Date and 

 (ii) the amount of $78,000.00 representing the security deposit. 



 Tenant also covenants to pay, from time to time as provided in this Lease, as additional rent: all other amounts and obligations which Tenant assumes or agrees to pay under this Lease; a “Late Charge” equal to five percent (5%) of the overdue payment of any item of fixed or additional rent not paid within ten (10) days after the date when due (or, if a demand therefor is required by the provisions of this Lease, within ten (10) days after the date of such demand), which Late Charge shall be payable as additional rent. In the event of any failure on the part of Tenant to pay any additional rent, Landlord shall have all the rights, powers and remedies provided for in this Lease, at law, in equity or otherwise, in the case of nonpayment of fixed rent. Nothing herein shall be construed to extend the due dates of Tenant's payments under this Lease, or to waive any rights or remedies of Landlord in the event of Tenant's late payment. Tenant's obligations to pay fixed rent and additional rent shall survive the expiration of the Lease term or earlier termination of this Lease. 





 The provisions of this Article are in addition to all other rights or remedies available to Landlord for nonpayment of fixed rent or additional rent under this Lease and at law and in equity. Tenant further agrees that the Late Charge imposed is fair and reasonable, complies with all laws, regulations and statutes, and constitutes an agreement between Landlord and Tenant as to the estimated compensation for costs and administrative expenses incurred by Landlord due to the late payment of rent to Landlord by Tenant. Tenant further agrees that the Late Charge assessed pursuant to this Lease is not interest and the Late Charge assessed does not constitute a lender or borrower/creditor relationship between Landlord and Tenant or a penalty of any kind. It is understood that said late charge is directly related to Landlord’s actual costs and expenses incurred as a result of late payment. 



 All fixed rent and additional rent (collectively hereinafter referred to as ""rent"") shall be paid in such coin or currency (or, subject to collection, by good check payable in such coin or currency) of the United States of America as at the time shall be legal tender for the payment of public and private debts, at the office of Landlord as set forth above, or at such place and to such person as Landlord from time to time may designate. 



 All rent shall be paid to Landlord without notice, demand, counterclaim, setoff, deduction or defense, and nothing shall suspend, defer, diminish, abate, or reduce any rent, except as otherwise specifically provided in this Lease or by law. 



 Tenant shall make all rental payments in full. Payment or receipt of a rental payment of less than the amount stated in this Lease shall be deemed to be nothing more than partial payment on account. Under no circumstances shall Landlord’s acceptance of a partial payment constitute accord and satisfaction. Nor will Landlord’s acceptance of a partial payment forfeit Landlord’s right to collect the balance due on the account, together with applicable late charges and interest despite any endorsement, stipulation, or other statement on any check. 



 Landlord may accept any partial payment check with any conditional endorsement without prejudice to its right to recover the balance remaining due, or to pursue any other remedy available under this Lease, law or equity. 



 Landlord in its sole discretion may allocate without prejudice any payment in whole or in part to any due item of fixed rent, additional rent and/or any other charges or to any combination thereof. 



 If Landlord commences any action or proceeding against Tenant, or if Landlord is required to defend any action or proceeding commenced by Tenant, in connection with this lease or the Premises, and Landlord shall be the prevailing party in any such action for proceeding, Landlord shall be entitled to recover from Tenant in such action or proceeding, or a subsequently commenced action or proceeding, Landlord's reasonable attorneys' fees, costs and disbursements and all applicable interest thereon at the statutory rate incurred in connection with such action or proceeding and any appeals, including but not limited to fees on fees incurred to collect said monies. 



 Landlord’s failure during the Lease term to prepare and deliver any of the statements, notices, or bills for rent and/or additional rent or Landlord’s failure to make a demand, shall not in any way cause Landlord to forfeit or surrender its rights to collect any of the items of rent and/or additional rent that may have become due during the term of this Lease. Tenant’s liability for all such amounts due under this Lease shall survive the expiration of the Term. Nevertheless, any sums due under the Lease must be claimed within two years of when due or within one year from expiration of the Lease.",Rent Credit and Security Deposit,Security Deposit
"All insurance policies shall be written with insurance companies acceptable to Landlord having coverage limits required by this article, and having a policyholder rating of at least ""A-"" and a financial size category of at least ""Class ""XII"" as rated in the most recent edition of ""Best's Key Rating Guide"" for insurance companies. The commercial general liability, commercial automobile liability, and excess liability insurance policies shall name the Landlord Parties as additional insureds (on ISO CG 20 11 04 13 or equivalent for the commercial general liability policy) and require prior notice of cancellation to be delivered in writing to Landlord within the time period applicable to the first named insured. The commercial general liability, commercial automobile liability, and excess liability policies shall include an unmodified Separation of Insureds provision. The following exclusions/limitations or their equivalent(s) are prohibited: Contractual Liability Limitation CG 21 39; Amendment of Insured Contract Definition CG 24 26; any endorsement modifying the Employer's Liability exclusion or deleting the exception to it; any ""Insured vs. Insured"" exclusion except Named Insured vs. Named Insured; and any Punitive, Exemplary, or Multiplied Damages exclusion. Tenant shall furnish evidence that it maintains all insurance coverages required under this Lease (ACORD 25 for liability insurance and the ACORD 28 for Commercial Property Insurance, with copies of declaration pages, schedule of forms, and endorsement pages for each required policy) at least ten days before entering the Premises for any reason. The ACORD 25 Form Certificate of Insurance for the liability insurance policies shall specify the policy form number and edition date and shall have attached to it a copy of the additional insureds endorsement listing the Landlord Parties. Coverage amounts for the liability insurance may be increased periodically in accordance with industry standards for similar properties.",Insurance Requirements,Insurance Coverage Details
To evaluate the PK of insulin lispro following a single SC injection of LY900014 and Humalog in patients with T1DM,Evaluation Plan,Exploratory Research
"Medical History:

                 +CAD w/ Left heart cath in 2005 showing 40% LAD, 50% small D2, 40% RCA and 30% large OM; 2006 TTE showing LVEF 60-65% with diastolic dysfunction, LVH, mild LA dilation +Hyperlipidemia +HTN

                 +DM 2, last A1c 6.7 in 9/2005 +Asthma/COPD +GERD +h/o iron deficiency anemia",Cardiovascular and Metabolic Conditions,Medical History
"Commercial General Liability insurance including Contractual Liability Coverage, with coverage for products liability, completed operations, property damage and bodily injury, including death, with an aggregate limit of no less than $2,000,000. This policy shall name Client as an additional insured with respect to the provision of services provided under this Agreement. This policy shall include a waiver of subrogation against Client.",Insurance Requirements,Commercial General Liability Coverage Requirements
"46. Work To Be Performed and Water Charges 



 Landlord shall perform no work to prepare the Premises for the Tenant’s occupancy, except that Landlord shall deliver the Premises free of any hazardous materials and with no outstanding construction liens or violations. 



 Tenant shall maintain the submeter to register Tenant’s water consumption at Tenant’s sole cost and expense in good working order and repair, and Tenant shall pay for water consumed as shown on said water meter (“Base Water Charge”), plus Tenant’s Share of the cost of having the water meter read by a water meter reading company, within five (5) days of delivery by Landlord of a bill therefor. Tenant shall pay Tenant’s Share of sewer rent charges and assessments, if any, for the premises within five (5) days of delivery by Landlord of a bill therefor, which shall be additional rent. 



 If not already existing, Tenant shall install a backflow prevention device that is approved by the City Department of Environmental Protection (DEP) to prevent contaminated water or chemicals from flowing back into the public drinking supply, and in connection with such installation, Tenant shall comply with all provisions set forth elsewhere in this Lease. Tenant shall pay to Landlord as additional rent annually during the term of this Lease Tenant’s Share of Landlord’s costs and expenses for maintenance, inspection, certifications, testing and to comply with all other requirements of DEP with regard the backflow prevention device servicing its Premises. Such additional rent shall be paid within twenty (20) days after demand thereof by the Landlord and shall be collectible as additional rent. Bills for same submitted by Landlord shall be conclusive evidence of the amount of such costs and expenses and shall be used for the calculation of the amounts to be paid by the Tenant.",Water Meter Maintenance and Payment,Work To Be Performed and Water Charges
"MASTER SERVICES AGREEMENT

This Services Agreement (the “Agreement”) sets forth terms under which MagicSoft, Inc. a Washington Corporation (“Company”) located at 600 4th Ave, Seattle, WA 98104 shall provide services to Daltech, Inc., a Washington Corporation (the “Client”) located at 701 1st St, Kirkland, WA 98033. This Agreement is effective as of February 15, 2021 (“Effective Date”).



A. STANDARD SOFTWARE AND SERVICES AGREEMENT

1. Deliverables. Company shall provide Client with software, technical support, product management, development, and testing services (“Services”) to the Client as described on one or more Statements of Work signed by Company and Client that reference this Agreement (“SOW” or “Statement of Work”). Company shall perform Services in a prompt manner and have the final product or service (“Deliverable”) ready for Client no later than the due date specified in the applicable SOW (“Completion Date”). This due date is subject to change in accordance with the Change Order process defined in the applicable SOW. Client shall assist Company by promptly providing all information requests known or available and relevant to the Services in a timely manner.

2. Onsite Services.

   2.1 Onsite visits will be charged on a daily basis (minimum 8 hours).

   2.2 Time and expenses will be charged based on actuals unless otherwise described in an Order Form or accompanying SOW.

   2.3 All work will be executed during regular working hours Monday-Friday 0800-1900. For work outside of these hours on weekdays, Company will charge one hundred percent (100%) of the regular hourly rate and two hundred percent (200%) for Saturdays, Sundays and public holidays applicable to Company.

   2.4 If scheduled onsite visits are cancelled less than ten (10) working days in advance of the scheduled date, Company is entitled to charge fifty percent (50%) of the expected revenue associated with this onsite activity as compensation.

3. Deposit. An initial payment (the “Deposit”) of One Hundred Thousand Dollars ($100,000) is due to Company at signing.

4. Dates of Performance. Company will begin performing services upon receipt of signed Agreement and Deposit. Unless terminated as provided in this Agreement, Company will complete Services by the Completion Date. Deliverable shall be furnished to Client within 72 hours of final payment for the Services.

5. Change in Services. If Client desires changes to the SOW, Client shall submit to Company a written request in accordance with the change order process defined in the applicable SOW. The parties may execute additional Statements of Work describing Services, which will become part of this Agreement upon execution by Company and the Client. If additional SOW are executed, then Client shall pay Company for all services performed prior to the additional SOW before Company begins work on the new SOW.

6. Termination. This agreement shall continue in force and effect until May 31, 2025 and shall be automatically renewed for successive one-year terms annually thereafter unless notice of non-renewal is given by the Company or the Client before the end of the term. Company shall have the right to modify, reject, or terminate any SOW and any related work in process with five days written notice to Client. In the event Company terminates the SOW prior to completion of Services, the Client shall pay Company the fees due under the SOW with respect to Services completed as of the date of termination. Payment for completed work will be deducted from the deposit. Company will retain the non-refundable 50% of the Deposit and return any unearned portion exceeding 50% of the Deposit. Any amount due for services performed by Company above the deposit will be billed to Client and Client shall promptly pay.

7. Payment. In exchange for Company’s Services under this Agreement, the Client shall pay Company the contract price and deposit set forth above. Company will submit a final invoice to Client for all services rendered by the Services Completion Date and Client shall promptly pay. Client is restricted from using any form of the Deliverable until final payment is received. Client shall pay travel and other expenses incurred by Company in performing the Services. In the event of a good faith dispute with regard to an item appearing on an invoice, Company shall have the right to withhold the Deliverable while the parties attempt to resolve the disputes.

8. Representations and Warranties.

   8.1 Company’s Representation. Company represents that any materials used in the Deliverable will not knowingly (a) infringe on the intellectual property rights of any third party or any rights of publicity or privacy or (b) violate any law, statute, ordinance or regulation.

   8.2 Client’s Representation. Client represents that any materials provided to Company by Client for incorporation into the Deliverable will not (a) infringe on the intellectual property rights of any third party or any rights of publicity or privacy or (b) violate any law, statute, ordinance or regulation.

   8.3 Warranty Disclaimer. EXCEPT FOR THE WARRANTIES SET FORTH IN THIS AGREEMENT AND ANY SOW, EACH PARTY EXPRESSLY DISCLAIMS ANY AND ALL OTHER WARRANTIES OF ANY KIND OR NATURE, WHETHER EXPRESS OR IMPLIED, INCLUDING WITHOUT LIMITATION THE IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.

9. Indemnification. Client will defend, indemnify and hold Company harmless from any and all claims, losses, liabilities, damages, expenses and costs (including attorneys’ fees and court costs) arising from or relating to any claims regarding elements or materials provided by Client and incorporated into the Deliverable. Additionally, Client will defend, indemnify and hold Company harmless from any and all claims, losses, liabilities, damages, expenses and costs (including attorneys’ fees and court costs) arising from or relating to any claims regarding Client’s unauthorized use of any music, images, or other materials comprising the Deliverable.

10. Limitation of Liability. COMPANY WILL NOT BE LIABLE FOR ANY LOSS OF USE, INTERRUPTION OF BUSINESS, LOST PROFITS, OR ANY INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES OF ANY KIND REGARDLESS OF THE FORM OF ACTION WHETHER IN CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT PRODUCT LIABILITY, OR OTHERWISE, EVEN IF IT HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.

11. Compliance with Laws. Each party shall perform all of its obligations under this Agreement in compliance at all times with all foreign, federal, state and local statutes, orders and regulations, including those relating to privacy and data protection.

12. General Provisions.

   12.1 Insurance Company will maintain during the entire Term of this Agreement, at its own expense, the types of insurance coverage specified below, on standard policy forms and with insurance companies with at least an A.M. Best Rating of A-VII authorized to do business in the jurisdictions where the Company services are to be performed.

      (a) Workers’ Compensation insurance prescribed by applicable local law and Employers Liability insurance with limits not less than $1,000,000 per accident/per employee. This policy shall include a waiver of subrogation against Client.

      (b) Business Automobile Liability covering all vehicles that Company owns, hires or leases with a limit of no less than $1,000,000 (combined single limit for bodily injury and property damage) for each accident.

      (c) Commercial General Liability insurance including Contractual Liability Coverage, with coverage for products liability, completed operations, property damage and bodily injury, including death, with an aggregate limit of no less than $2,000,000. This policy shall name Client as an additional insured with respect to the provision of services provided under this Agreement. This policy shall include a waiver of subrogation against Client.

      (d) Technology Professional Liability Errors & Omissions policy (which includes Cyber Risk coverage and Computer Security and Privacy Liability coverage) with a limit of no less than $5,000,000 per occurrence and in the aggregate.

      (e) Crime policy with a limit of no less than $5,000,000 per occurrence and in the aggregate.

      (f) Excess Liability/Umbrella coverage with a limit of no less than $9,000,000 per occurrence and in the aggregate (such limit may be achieved through increase of limits in underlying policies to reach the level of coverage shown here). This policy shall name Client as an additional insured with respect to the provision of services provided under this Agreement. This policy shall include a waiver of subrogation against Client.

   Upon Client's request, Company agrees to deliver to Client a certificate(s) of insurance evidencing the coverage specified in this Section. Such certificate(s) will contain a thirty (30) day prior notice of cancellation provision. Company will be solely responsible for any deductible or self-insurance retentions. Such insurance coverage will be primary and any other valid insurance existing will be in excess of such primary insurance policies. The required insurance coverage and limits of liability set forth above shall not be construed as a limitation or waiver of any potential liability of satisfaction of any indemnification/hold harmless obligation of Company.

12.2 Intellectual Property.

      12.2.1 Preexisting Intellectual Property. Except for rights expressly granted under this agreement, each party will retain exclusive interest in and ownership of its Intellectual Property developed before this agreement or developed outside the scope of this agreement.

      12.2.2 Independently Developed Intellectual Property. Any Intellectual Property developed solely by a party under this agreement without the participation of the other party is and will remain the sole and exclusive property of the",Services Agreement,Standard Software and Services Agreement
"4. Hours of Operation



5.

Travel. If the Deliverable will be completed according to a fixed price SOW and travel is required, then Client must sign the Agreement and SOW and pay required Deposit at least 30 days prior to proposed travel. If the Agreement and SOW are not signed and Deposit is not received at least 30 days prior to proposed travel, Company reserves the right to amend the SOW estimate solely with regard to travel and lodging expenses so that the SOW estimate reflects actual costs incurred by Company.

         •    Engineering:



                •    Monday-Friday 6AM-6PM PST



                •    engineering@digitalmemex.com



                •    (206) 684-8889





         •    Support:



                •    24 x 7 x 365



                •    support@digitalmemex.com



                •    (206) 684-8888",Hours of Operation,Travel and Lodging
"Company will maintain during the entire Term of this Agreement, at its own expense, the types of insurance coverage specified below, on standard policy forms and with insurance companies with at least an A.M. Best Rating of A-VII authorized to do business in the jurisdictions where the Company services are to be performed.

      (a) Workers’ Compensation insurance prescribed by applicable local law and Employers Liability insurance with limits not less than $1,000,000 per accident/per employee. This policy shall include a waiver of subrogation against Client.

      (b) Business Automobile Liability covering all vehicles that Company owns, hires or leases with a limit of no less than $1,000,000 (combined single limit for bodily injury and property damage) for each accident.

      (c) Commercial General Liability insurance including Contractual Liability Coverage, with coverage for products liability, completed operations, property damage and bodily injury, including death, with an aggregate limit of no less than $2,000,000. This policy shall name Client as an additional insured with respect to the provision of services provided under this Agreement. This policy shall include a waiver of subrogation against Client.

      (d) Technology Professional Liability Errors & Omissions policy (which includes Cyber Risk coverage and Computer Security and Privacy Liability coverage) with a limit of no less than $5,000,000 per occurrence and in the aggregate.

      (e) Crime policy with a limit of no less than $5,000,000 per occurrence and in the aggregate.

      (f) Excess Liability/Umbrella coverage with a limit of no less than $9,000,000 per occurrence and in the aggregate (such limit may be achieved through increase of limits in underlying policies to reach the level of coverage shown here). This policy shall name Client as an additional insured with respect to the provision of services provided under this Agreement. This policy shall include a waiver of subrogation against Client.",Commercial Insurance Requirements,Insurance Coverage Details
"Neither party may assign this Agreement without the prior written consent of the other party and any attempt to do so will be void. Any notice or consent under this Agreement will be in writing to the address specified below. If any provision of this Agreement is adjudged by any court of competent jurisdiction to be unenforceable or invalid, that provision shall be limited or eliminated to the minimum extent necessary so that this Agreement will otherwise remain in full force and effect. Any waivers or amendments shall be effective only if made in writing signed by a representative of the respective parties. Both parties agree that this Agreement is the complete and exclusive statement of the mutual understanding of the parties, and supersedes and cancels all previous written and oral agreements and communications relating to the subject matter of this Agreement. Both parties agree that the Agreement is signed by a duly, authorized company representative authorized to bind the company to its terms and services and no consent from any third party is required.","Assignment, Waivers & Amendments",No Assignment
"Claim Services:

        InsuranceA has over 11,000 highly trained Claim professionals located across the

        U.S. Our local field representatives are supported by teams of dedicated customer service, catastrophe response, legal, medical, investigative, engineering, and large loss experts. Technology claims can be complex and expensive. We’ll help you manage claims to control your total risk-related costs.

        https://www.InsuranceA.com/claims",Insurance Claim Services,InsuranceA Claim Services
"Tenant covenants to pay to Landlord as a net minimum rent (the ""fixed rent"") during the term of this Lease for the Premises as follows:",Fixed Rent Payment,Fixed Rent
42B. Sidewalk Use and Maintenance,Sidewalk Use and Maintenance,Sidewalk Use and Maintenance
Fees. The Services outlined in this SOW reflect the initial understanding of Client’s desired Deliverable and Company reserves the right to alter the manner in which Services are provided if Company determines different services are necessary to complete the Deliverable. Company shall provide the following Services to the Client:,Service Fees,Service Fees
Exceptions. The obligations and restrictions in Section 2 will not apply to any information or materials that:,Exceptions to Restrictions,Exceptions
Turbulence Severity Forecast/Actual:,Turbulence Severity Forecast,Turbulence Severity Forecast
Patients will be required to attend the CRU on at least 8 occasions (no more than 10 occasions if dose-finding and/or one MMTT rescheduled) as noted in the Study Schedule (see Section 2):,Study Schedule,Study Schedule
"Deductibles: By Earthquake

                                                                       PERCENTAGE

             OCCURENCE

       01. in any one occurrence, at the following Building(s) numbered:

       002-019

                                                                                               $50,000

       As respects Business Income Coverage a 72 hour deductible applies at all premises loca ions.",Earthquake Deductible,Building Coverage Options
Tenant agrees that the conduct of its business and its use of the Premises and any equipment therein shall be in such a manner as:,Permitted Use,Permitted Use
"NOW, THEREFORE, in consideration of the mutual covenants and conditions hereinafter set forth, and other good and valuable consideration, the receipt and sufficiency of which the parties hereby acknowledge; Carrier and

                                                            Shipper agree as follows:

                                                                  ARTICLE 1

                             Section 1.1 Subject to the terms and provisions hereof, Shipper agrees to tender to Carrier an indeterminable number of Shipments (hereinafter defined) during the term of this Agreement, but not less than three

                   (3) per year, and Carrier agrees to provide Suitable Equipment (hereinafter defined) to transport said Shipments, provided the booking procedures set forth in Section 1.4 herein are followed and Carrier agrees to transport such

                                       shipments in accordance with the terms and conditions stated herein.

                            Section 1.2 A Shipment shall consist of a full trailer load of Commodities. Suitable Equipment means (i) a refrigerated trailer that is at least 55 feet long and 102 inches wide, that will haul a minimum of 50000 pounds gross weight of product, with each said trailer being clean, insect and rodent free, odor free, water tight and uncontaminated by prior use, not ever having been used for transportation or storage of toxic chemicals of any kind, including, without limitation, insecticides, rodenticides, and/or hazardous materials, substances or chemicals, unless otherwise agreed upon in writing by waiver of specified materials executed by Shipper’s Sr. Vice President of Quality Control and Vice President of Risk Management, at Shipper’s sole discretion, prior to Shipment; and (ii) a tractor power unit with sufficient power for towing the trailer, in good operating condition and repair, and with a driver experienced in handling the transportation of Commodities with such a rig and trailer and with a good driving

                                                                     record.

                 Section 1.3 Carrier shall furnish to Shipper a copy of the United States Department of Transportation General Motor Carrier Safety Administration Form MCS-150, Form MCS-90, and Form BMC-91X filed by Carrier as well

                                        as subsequent updates for the duration of the business relationship.

                          Section 1.4 When Shipper desires Carrier to transport a Shipment, Shipper will notify Carrier by e- mail, Electronic Data Interchange (EDI), verbally and/or by facsimile, specifying the load, the destination, and the date by which the load must reach the destination. Carrier will either accept or reject the opportunity to transport the Shipment by return e-mail, EDI, and/or facsimile to the Shipper in Section 13.4. If Carrier accepts, Carrier will be bound by the terms of this Agreement with respect to each such Shipment. If Carrier rejects, the rejected load will be

                    considered as an allocated load to the Carrier in accordance with Shipper obligations to award Carrier primary

                                                              coverage of said lane.

                          Section 1.5 Time is of the essence in Carrier’s performance of its obligations hereunder, and Carrier agrees to provide timely communication relative to load tenders and to transport all Shipments with prompt and reasonable dispatch in accordance with scheduled delivery dates set by Shipper and its customers, as communicated to Carrier as set forth in Section 1.4 herein, subject, however, to compliance by Carrier with applicable laws and

                                              regulations and to conditions beyond Carrier’s control.

                                                                  ARTICLE 2

                                                                 Compensation

                 Section 2.1 Carrier shall be compensated for each Shipment in accordance with the rates set forth on IBIDTransport.com, a web-based rate management system, or based on the delivery destination of the cargo, the total number of tons of cargo hauled by Carrier and the agreed upon rate as contained in the applicable purchase order. The fees paid to Carrier shall be no more favorable than the fees paid by Shipper to any other third party carrier. User name and password will be issued by Ilens Logistics Group at the request of Sandy’s Express. Carrier agrees that “P. C. Miler v.14” shortest miles option shall be utilized as the basis for computing the mileage from the point of origination of a shipment to the point of destination of a Shipment. Any deviation from this aforementioned method must be approved in advance in writing by Shipper.

                   Section 2.2 Carrier represents and warrants that, during the term of this Agreement, the rates agreed upon hereunder as may be modified in accordance with the terms hereof from time to time, together with all charges, surcharges, rebates, discounts, incentives and allowances agreed upon by the parties (collectively, “Pricing Terms”), offered to Sandy’s Express under this Agreement, are and will remain as favorable as, or better than the Pricing Terms offered by Carrier to any other shipper shipping similar products in like quantities. In the event that Carrier at any time agrees, in writing or otherwise, to Pricing Terms with another shipper that are in any way more favorable than the Pricing Terms agreed to with Sandy’s Express, Carrier shall promptly notify Sandy’s Express in writing and offer such terms to Sandy’s Express. In the event Sandy’s Express accepts such modified terms, the parties shall promptly prepare and execute an amendment to this Agreement reflecting such revised terms. Carrier (or its applicable subsidiary) shall annually on the anniversary of this Agreement, certify to Sandy’s Express that Carrier

                                                    remains in compliance with this provision.

                 Section 2.3 At the time the Shipment is fully delivered, an invoice covering that Shipment will be generated by Carrier and delivered to Shipper, in accordance with the rates Carrier places in IBID, or based on the delivery destination of the cargo, the total number of tons of cargo hauled by Carrier and the agreed upon rate as contained in the applicable purchase order. The invoice will be due and payable thirty (30) days from the date of receipt of the invoice, provided that on or before said date Shipper has received from Carrier (i) duly executed receipt(s) from whom delivery was made concerning the applicable invoice, and (ii) such other supporting materials as Shipper may reasonably require.

                 Section 2.4 Carrier shall maintain complete and accurate records of each Shipment and all transactions under

                    this Agreement, including all supporting documentation and proof of delivery, and in a manner consistent with generally acceptable accounting procedures. Within two (2) days notice by Shipper, Carrier shall provide Shipper and/or its representatives with access to and the right to examine all records involving any transaction related to the Agreement. Such right shall be for the period covered by this Agreement and until the expiration of five (5) years

                                                       after termination of this Agreement.

                                                                  ARTICLE 3

                                                        Payment of Rates and Charges

                         Section 3.1 Within thirty (30) days after Shipper’s receipt of Carrier’s delivery receipt, Shipper shall pay Carrier the rates and charges applicable to the shipment of cargo. In exchange for Shipper’s guarantee of prompt payment, (i) agrees not to contact Shipper’s customers, consignors, consignees or any party other than Shipper

                      concerning payment for transportation services; and, (ii) agrees to indemnify, defend, and hold Shipper, its customers, consignors, and consignees harmless from any claim or demand made by any subcontractor of Carrier or other party for payment for transportation services related to a shipment of cargo tendered under this Agreement.

                             Section 3.2 Any claim for overpayment or underpayment for transportation services provided pursuant to this Agreement shall be presented by the party asserting the claim to the other party within sixty (60) days of discovery of the claim, but in no event will any such claim(s) be asserted more than one hundred eighty

                  (180) days after the delivery of the shipment or shipments giving rise to any such claim. Claims shall be supported by appropriate documentation showing the amount of the overcharge or the undercharge, as the case may be. The

                      Parties shall pay, deny, or make a firm compromise offer within forty-five (45) days of receiving a claim.

                          Section 3.3 Carrier will pay all licenses, fees, taxes, fuel tax payments, road tax, equipment use fees or taxes, equipment license fees, driver’s license fees, tolls and any other fees and fines that may be assessed on its

                                                           equipment or its operations.

                                                                  ARTICLE 4

                                                                     Term

                     Section 4.1

                      This Agreement shall be continuously in effect beginning as of the Effective Date, unless

                                         terminated as herein provided.

                 Section 4.2

                  Either party may terminate this Agreement for any ",Term of Agreement,Subject of Agreement
